material_id,title,price,image_url,available_amount,description
1,Ламинат Forte Classic Twin Click Дуб Серый Крафт/Гегенцуг корич. 8 мм 33 класс,3790,/imgs/catalog/imgs/86790/medium/0c83155f-9320-11ea-a083-ac1f6b02a9ed-2ba64153-9689-11ea-a083-ac1f6b02a9ed.jpg,650,
1,Ламинат Forte Classic Twin Click Дуб Сосна Провинция /Гегенцуг корич. 8 мм 33 класс,3790,/imgs/catalog/imgs/86791/medium/de2aa05c-3eaa-11e6-83df-0025909279a7-0af575fa-1d31-11e8-b3f2-00259096d116.jpg,833,
1,Ламинат Forte Classic Twin Click Сосна Хайтрэйл /Гегенцуг корич. 8мм 33 класс,3790,/imgs/catalog/imgs/86792/medium/ab39e76c-704c-11e7-8c6c-00259096d116-0af575f4-1d31-11e8-b3f2-00259096d116.jpg,1,
1,Ламинат KASTAMONU GRN31W-FP103 Дуб Джакарта,2775,https://vk.com/rtrg?p=VK-RTRG-440450-5GLBL,0,
1,Ламинат Kronofix Classic (комфорт) Twin Click Дуб Высокогорный Гегенцуг коричн.0709 7мм 31 класс,3200,/imgs/catalog/imgs/86786/medium/df6d07c7-1d6e-11ea-8515-ac1f6b02a9ed-a010138f-32c7-11ea-8ed3-ac1f6b02a9ed.jpg,851,
1,Ламинат Kronofix Classic (комфорт) Twin Click Дуб Ройал Гегенцуг корич. 7мм 31 класс,3200,/imgs/catalog/imgs/86756/medium/0ac88fd6-379b-11e2-a341-0025909279a7-49114d99-1d2a-11e8-b3f2-00259096d116.jpg,691,
1,Ламинат Kronofix Classic (комфорт) Twin Click Урбан Легенд коричн.8812 7мм 31 класс,3200,/imgs/catalog/imgs/86819/medium/f63d0611-5876-11dd-975d-001e90cc2436-d19ed489-1d3c-11e8-b3f2-00259096d116.jpg,526,
1,Ламинат Kronofix Classic Дуб Альпийский/Дуб снежный Гегенцуг корич. 7мм 31 класс,3200,/imgs/catalog/imgs/86820/medium/6ee1c98a-d1b3-11dd-8beb-001e8c0d3c8b-d19ed48c-1d3c-11e8-b3f2-00259096d116.jpg,1,
1,Ламинат Kronofix Classic Дуб Экслюзив Гегенцуг корич. 7мм 31 класс,3200,/imgs/catalog/imgs/86821/medium/ed2aa8bb-6ab0-11e7-8c29-00259096d116-d19ed495-1d3c-11e8-b3f2-00259096d116.jpg,144,
1,Ламинат KronoStar Eco Tec Дуб Каньон 7мм 32 кл,3350,/imgs/catalog/imgs/86822/medium/78124c51-b5b3-11e4-a469-0025909279a7-d19ed49b-1d3c-11e8-b3f2-00259096d116.jpg,48,
1,"Ламинат KronoStar Eco Tec Дуб Олинда 7мм 32 класс (9шт-2,397 м2)",3350,/imgs/catalog/imgs/86823/medium/78124c4c-b5b3-11e4-a469-0025909279a7-d19ed4a1-1d3c-11e8-b3f2-00259096d116.jpg,7,
1,Ламинат KronoStar Eco Tec Дуб Сердания 7мм 32 кл,3350,/imgs/catalog/imgs/86833/medium/41f35525-622c-11e8-8c19-00259096d116-30756a81-8a09-11ea-a083-ac1f6b02a9ed.jpg,75,
1,Ламинат РИВЬЕРА 833 Антиб 1 класс,3800,/imgs/catalog/imgs/86793/medium/43cde612-c338-11ea-a8d0-ac1f6b02a9ed-fb6a7907-fbe6-11ea-a9ee-ac1f6b02a9ed.jpg,0,
1,Ламинат РИВЬЕРА 833 Дуб Марсель NL 1 кл,3800,/imgs/catalog/imgs/86794/medium/301f46b2-a447-11e8-8afb-ac1f6b02a9ec-fb6a78fc-fbe6-11ea-a9ee-ac1f6b02a9ed.jpg,0,
1,Ламинат РИВЬЕРА 833 Дуб Портофино NL 1 кл,3800,/imgs/catalog/imgs/86880/medium/928e3442-e592-11e9-a3b4-ac1f6b02a9ed-5a7c689b-1807-11ea-8beb-ac1f6b02a9ed.jpg,0,
